id,ticker_symbol,company_name,cik_number
223,agnco,AGNC Investment Corp. ,1423689
224,agncp,AGNC Investment Corp. ,1423689
225,ago,ASSURED GUARANTY LTD ,1273813
226,agq,ProShares Trust II ,1415311
227,agqpf,ALGONQUIN POWER & UTILITIES CORP. ,1174169
228,agr,"Avangrid, Inc. ",1634997
229,agro,Adecoagro S.A. ,1499505
230,agrx,AGILE THERAPEUTICS INC ,1261249
231,ags,"PlayAGS, Inc. ",1593548
232,agtc,APPLIED GENETIC TECHNOLOGIES CORP ,1273636
233,agtk,"AGRITEK HOLDINGS, INC. ",1040850
234,agtx,Agentix Corp. ,1603345
235,agx,ARGAN INC ,100591
236,agys,AGILYSYS INC ,78749
237,ahc,A. H. Belo Corp ,1413898
238,ahco,AdaptHealth Corp. ,1725255
239,ahcow,AdaptHealth Corp. ,1725255
240,ahcp,Anchorage International Holdings Corp. ,1451797
241,ahcpd,Anchorage International Holdings Corp. ,1451797
242,ahgp,"Alliance Holdings GP, L.P. ",1344980
243,ahh,"Armada Hoffler Properties, Inc. ",1569187
244,ahi,"AVADIM HEALTH, INC. ",1614824
245,ahl-pc,ASPEN INSURANCE HOLDINGS LTD ,1267395
246,ahl-pd,ASPEN INSURANCE HOLDINGS LTD ,1267395
247,ahl-pe,ASPEN INSURANCE HOLDINGS LTD ,1267395
248,ahnr,ATHENA SILVER CORP ,1304409
249,ahpi,ALLIED HEALTHCARE PRODUCTS INC ,874710
250,aht,ASHFORD HOSPITALITY TRUST INC ,1232582
251,aht-pd,ASHFORD HOSPITALITY TRUST INC ,1232582
252,aht-pf,ASHFORD HOSPITALITY TRUST INC ,1232582
253,aht-pg,ASHFORD HOSPITALITY TRUST INC ,1232582
254,aht-ph,ASHFORD HOSPITALITY TRUST INC ,1232582
255,aht-pi,ASHFORD HOSPITALITY TRUST INC ,1232582
256,ai,Arlington Asset Investment Corp. ,1209028
257,aidg,"AIS Holdings Group, Inc. ",1702015
258,aifm,"AIFARM, LTD. ",1650505
259,aig,AMERICAN INTERNATIONAL GROUP INC ,5272
260,aig-pa,AMERICAN INTERNATIONAL GROUP INC ,5272
261,aig-wt,AMERICAN INTERNATIONAL GROUP INC ,5272
262,aih,Aesthetic Medical International Holdings Group Ltd ,1757143
263,aihs,Senmiao Technology Ltd ,1711012
264,aiki,Aikido Pharma Inc. ,12239
265,aiko,Alternative Investment Corp ,1405660
266,ailih,Ameren Illinois Co ,18654
267,ailim,Ameren Illinois Co ,18654
268,ailin,Ameren Illinois Co ,18654
269,ailio,Ameren Illinois Co ,18654
270,ailip,Ameren Illinois Co ,18654
271,ailli,Ameren Illinois Co ,18654
272,ailll,Ameren Illinois Co ,18654
273,aillm,Ameren Illinois Co ,18654
274,ailln,Ameren Illinois Co ,18654
275,aillo,Ameren Illinois Co ,18654
276,aillp,Ameren Illinois Co ,18654
277,ailnp,Ameren Illinois Co ,18654
278,aim,AIM ImmunoTech Inc. ,946644
279,aimc,Altra Industrial Motion Corp. ,1374535
280,aimt,"Aimmune Therapeutics, Inc. ",1631650
281,ain,ALBANY INTERNATIONAL CORP /DE/ ,819793
